@@,itemlabel,item,startdate,enddate
+++,Goswin Baron de Stassart,Q1538693,1831-09-12,1838-06-14
+++,Louis Baron de Schiervel,,1838-11-13,1848-05-27
+++,Augustin Dumon-Dumortier,Q466203,1848-06-27,1852-01-28
->,"Eugène, 8th Prince of Ligne->Eugène Prince of Ligne, of Amblise and of Epinoy",Q83761,1852-03-25,1879-07-18
+++,Camille Baron de Tornaco,Q1029306,1879-11-11,1880-03-08
->,Edmond de Selys Longchamps->Michel Edmond Baron de Sélys-Longchamps,Q59638,1880-08-03,1884-05-28
+++,Jules Baron d'Anethan,Q725589,1884-07-23,1885-08-19
+++,Charles Count de Merode-Westerloo,,1885-11-10,1892-04-06
---,Henri t'Kint de Roodenbeke,Q1606071,1892,1899
+++,Henri Baron t'Kint de Roodenbeke de Naeyer,,1892-04-26,1899-11-10
->,"Charles Joseph Marie, 6th Duke d'Ursel->Marie Joseph Charles, 6th Duke d'Ursel",Q465957,1899-11-14,1903-11-15
->,Henri de Mérode-Westerloo->Henri Count de Merode-Westerloo,Q2191097->NULL,1903-12-02,1908-07-13
+++,Alfred Viscount Simonis,,1908-08-28,1911-08-05
+++,Paul Baron de Favereau,Q926515,1911-11-14,1922-09-26
+++,Arnold Count t'Kint de Roodenbeke,,1922-11-14,1928-08-10
+++,Charles Magnette,Q182752,1928-11-13,1932-10-28
+++,Emile Digneffe,Q465931,1932-12-27,1934-08-11
+++,Maurice Count Lippens,Q465720,1934-11-13,1936-04-13
+++,Romain Baron Moyersoen,,1936-07-01,1939-03-06
+++,Robert Gillon,Q465938,1939-04-26,1947-11-08
+++,Henri Rolin,Q832917,1947-11-11,1949-11-06
+++,Robert Gillon,Q465938,1949-11-08,1950-04-30
+++,Paul Struye,Q2062628,1950-06-27,1954-03-12
+++,Robert Gillon,Q465938,1954-05-05,1958-04-29
+++,Robert Vandekerckhove,,1977-06-07,1980-02-23
+++,Edward Leemans,,1980-03-05,1987-11-06
+++,Lambert Kelchtermans,,1988-05-16,1988-10-10
->,Frank Swaelen,Q682420,1988-10-11,1999-06-14->1995-04-12
